//===== rAthena Script =======================================
//= Payon Cave Monster Spawn Script
//===== By: ==================================================
//= Athena (1.0)
//===== Current Version: =====================================
//= 1.3
//===== Compatible With: =====================================
//= rAthena Project
//===== Additional Comments: =================================
//= 1.1 Official kRO 10.1 spawns [Playtester]
//= 1.2 Small spawn update [Playtester]
//= 1.3 Corrected MVP spawn variance. [L0ne_W0lf]
//============================================================

//==================================================
// pay_dun00 - Payon Cave F1
//==================================================
pay_dun00,0,0	monster	ÎüÑªòùòğ	1005,15
pay_dun02,110,216,20,10	monster	°×²İ	1082,3,180000,90000
pay_dun02,132,84,10,10	monster	°×²İ	1082,3,180000,90000
pay_dun02,197,113,10,10	monster	ºì²İ	1078,4,180000,90000
pay_dun02,55,254,10,10	monster	ºì²İ	1078,4,180000,90000

//==================================================
// pay_dun03 - Payon Cave F4
//==================================================
pay_dun03,0,0	monster	¹íÅ®	1170,50
pay_dun03,0,0	monster	½©Ê¬	1026,3
pay_dun03,0,0	monster	ÑıµÀ	1188,3
pay_dun03,0,0	monster	¾ÅÎ²ºü	1180,1
pay_dun03,0,0	monster	¾ÅÎ²ºü	1180,1,3600000,1800000
pay_dun03,154,112	monster	°×ÓÄÁé	1185,1,1800000
pay_dun03,161,117	monster	°×ÓÄÁé	1185,1,1800000
pay_dun03,81,61	monster	°×ÓÄÁé	1185,1,1800000
pay_dun03,84,63	monster	°×ÓÄÁé	1185,1,1800000
pay_dun03,89,147	monster	¾Ş´ó°×ÓÄÁé	1186,1,14400000
pay_dun03,66,73	monster	º£¿û	1068,1,600000,300000
pay_dun03,68,72	monster	º£¿û	1068,1,600000,300000
pay_dun03,67,71	monster	º£¿û	1068,1,600000,300000
pay_dun03,63,70	monster	º£¿û	1068,1,600000,300000
pay_dun03,58,69	monster	º£¿û	1068,1,600000,300000
pay_dun03,67,69	monster	º£¿û	1068,1,600000,300000
pay_dun03,60,68	monster	º£¿û	1068,1,600000,300000
pay_dun03,69,68	monster	º£¿û	1068,1,600000,300000
pay_dun03,62,67	monster	º£¿û	1068,1,600000,300000
pay_dun03,71,67	monster	º£¿û	1068,1,600000,300000
pay_dun03,64,66	monster	º£¿û	1068,1,600000,300000
pay_dun03,57,65	monster	º£¿û	1068,1,600000,300000
pay_dun03,66,65	monster	º£¿û	1068,1,600000,300000
pay_dun03,59,64	monster	º£¿û	1068,1,600000,300000
pay_dun03,68,64	monster	º£¿û	1068,1,600000,300000
pay_dun03,71,64	monster	º£¿û	1068,1,600000,300000
pay_dun03,66,63	monster	º£¿û	1068,1,600000,300000
pay_dun03,71,243	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,86,248	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,85,178	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,115,190	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,230,244	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,240,244	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,219,244	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,243,220	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,219,185	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,228,185	monster	¹íÅ®	1170,2,300000,100000
pay_dun03,228,61	monster	ºì²İ	1078,1,600000,300000
pay_dun03,138,42	monster	À¶²İ	1079,1,600000,300000
pay_dun03,120,186	monster	ÂÌ²İ	1080,1,600000,300000
pay_dun03,88,35	monster	»Æ²İ	1081,1,600000,300000
pay_dun03,126,135	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,126,134	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,126,133	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,126,132	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,126,131	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,179,134	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,179,133	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,179,132	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,179,131	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,179,130	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun03,0,0	monster	½«¾üÄ§±®	1277,3
pay_dun03,0,0	monster	ºì²İ	1078,15,180000,90000
pay_dun03,246,56,20,20	monster	°×²İ	1082,3,180000,90000
pay_dun03,52,262,10,4	monster	°×²İ	1082,2,180000,90000

//==================================================
// pay_dun04 - Payon Cave F5
//==================================================
pay_dun04,0,0	monster	ÍÁÈË	1110,40
pay_dun04,0,0	monster	¹í»ğ	1129,30
pay_dun04,120,115,0,0	boss_monster	ÔÂÒ¹Ã¨	1150,1,3600000,600000,1
pay_dun04,0,0	monster	½«¾üÄ§±®	1277,15
pay_dun04,0,0	monster	Ğ°º¡¹­¼ıÊÖ	1016,15
pay_dun04,0,0	monster	¾ÅÎ²ºü	1180,30,60000,30000
pay_dun04,0,0	monster	Ğ°º¡Õ½Ê¿³¤	1290,1
pay_dun04,0,0	monster	¿ñ±©Ğ¡ÍÁÈË	1301,1
pay_dun04,120,115	monster	¿ñ±©ÔÂÒ¹Ã¨	1307,1,3600000,7200000,1
pay_dun04,120,120,10,10	monster	¹âÃ¢²İ	1083,1,1800000,900000
pay_dun04,28,110,5,5	monster	¹âÃ¢²İ	1083,1,1800000,900000
pay_dun04,0,0	monster	ºì²İ	1078,10,180000,90000
pay_dun04,107,206,5,5	monster	°×²İ	1082,2,180000,90000
pay_dun04,28,110,10,10	monster	°×²İ	1082,2,180000,90000
pay_dun04,190,207,5,5	monster	°×²İ	1082,2,180000,90000
